Latitude,longitude
-26.48353616,31.36729247
-26.5487966,31.42676374
-21.88988201,-50.77075914
-20.22624228,30.92288549
-17.90299558,30.96304874
-13.20338705,15.28943282
-12.42460311,40.36215867
-8.370126425,52.50217848
-7.399036064,127.9859612
-6.383150061,34.88448677
-6.23786352,143.8730497
-6.057967709,143.6862181
-4.120206525,21.82492099
-2.675628214,29.52916612
-1.45771841,28.1o42471316676
-1.324389167,27.97513237
-1.102551462,28.937o915446275
0.715193368,25.99105382
2.094838675,37.17325036
3.384139261,34.15526907
3.825483916,30.49012736
4.299638498,1020.071906
5.729714468,20.7093984
5.723482806,20.35543119
5.915632081,26.02385184
6.29517252,16.46826206
6.388838126,-9.508622558
6.470512407,17.45514214
6.503162129,46.79801097
6.557413577,20.92200645
7.548651429,30.4630157
7.804807926,5.416735483
8.539730306,-11.82157753
9.158128783,8.614805755
9.1932325,40.45431836
9.261695068,29.82473611
10.37624627,39.26802428
10.833904,-9.49392205
10.98550904,20.22037061
11.23599476,12.81976501
1100.445245,5.736757396
11.50598202,43.22892827
12.84550267,30.25092012
13.28514315,-10.25848367
13.71609775,36.399177711875e
13.75703844,20.89077489
13.94224288,-46.03061345
14.24991796,43.98812651
15.3824428,18.8204741
16.23500875,43.94025939
16.7165242,96.15227028
18.92958936,-72.22771486
19.29496309,-33.85882532
19.6580754,-72.49673006
20.19896506,92.94439235
20.66461059,79.04936247
20.73104656,96.93635218
22.98129723,-58.47687137
23.09046419,-28.09358284
23.53491616,-50.46530654
23.6602725,90.36980988
24.21471859,38.78333397
24.60930212,90.26702375
24.68433373,-61.35933827
25.2932149,97.42124865
25.6052247,74.58534304
26.03053074,74.10447567
26.49374897,-49.76322493
26.77003562,43.24716289
26.79367457,69.06250076
27.70647784,66.57682818
28.33350505,63.00490427
29.23061678,78.67095638
30.21905485,67.06862597
30.32916469,-91.21389939
30.5338008,36.26516126
30.91688184,72.29569793
32.64292306,35.84369747
32.7272036,74.79569442
32.87964247,35.80990557
33.04891907,64.91282616
33.28837422,43.70360177
33.37661422,43.863054
33.9974008,67.76729188
34.54658388,-47.79633916
36.53795936,37.94402473
36.63689109,-86.76522535
37.22916933,38.70996514
37.27559179,-86.34717252
37.39238157,-68.70383953
37.94474353,69.79047424
38.58974626,68.69424043
39.98588762,-81.19438285
40.63171502,68.82317588
41.38574337,64.48816221
41.42854311624o3,-78.10275126
41.84832448,12.58799577
42.63787457,32.85450895
45.43810511,-47.65660495
49.89689631,30.2283402
"513,642,269,980,585",-1.432452719
52.33900298,30.99376493
52.69978508,33.04814729
